student_no,course_no,grade
24510008,202610029,C+
26210153,202510014,A+
26560072,202610027,C0
24450173,202620026,C+
26870200,202610019,C0
24210161,202420011,B0
25490126,202510002,F
25230076,202610027,B+
26280096,202410028,F
25440019,202520012,F
26600055,202420013,B0
24410100,202410028,C+
26920033,202520021,F
25490067,202610018,A+
25700164,202420013,B0
25150070,202420011,B+
26530108,202410006,F
24460147,202420001,D+
24920018,202610004,C0
25520189,202610019,A0
26340106,202620009,B+
24220196,202420015,F
24280166,202620003,F
26150061,202520010,C0
26400184,202510014,B0
24480170,202520021,C+
26340106,202610023,F
24920018,202620026,B0
25800047,202410030,B+
24510008,202410006,B+
24760038,202410028,C0
26420013,202610018,C+
25150070,202410006,F
24820048,202420015,A+
26660133,202610024,B+
25640030,202620016,B+
25810194,202620026,A+
24120071,202410017,A0
26830034,202610022,C0
26210153,202410030,C0
26760104,202420013,A0
24780042,202420013,F
25440125,202420011,A+
25210182,202610027,F
24440110,202520025,C+
24680115,202410005,B0
25190190,202410030,B+
24220118,202610018,B+
25510064,202410030,B+
26210153,202410005,C0
24390146,202610008,F
25440125,202410030,A+
24130143,202620026,F
24220113,202410028,C+
26510085,202610019,A+
26250131,202420007,B+
24680115,202420013,A+
25440125,202610004,D+
26400184,202520025,C0
25610001,202610018,B0
25260098,202410028,C+
25610001,202510002,A+
24280137,202620016,A+
24800144,202620003,D+
26290020,202610004,F
24650010,202610008,C+
24450160,202520025,C+
26580127,202610023,F
25800023,202610004,F
24100156,202410017,B+
24220118,202610024,D+
25230076,202610022,A+
24130143,202520010,A0
25210182,202610024,C0
24220090,202610019,B0
26120167,202410030,C0
24120071,202420013,A+
25120103,202410030,C+
26340077,202520012,A+
25760056,202610018,D+
24630016,202420015,A0
25150145,202610024,B+
24720178,202620009,C0
24230186,202610029,B0
25440019,202610008,C0
24700199,202420011,A+
26670141,202520010,C0
25190039,202410006,A+
24310155,202410020,B+
26910117,202420001,B+
24250162,202420011,C+
26570068,202620026,C+
26570068,202610022,C0
25700025,202610004,B+
26980021,202610029,A0
25810194,202420007,A+
26340077,202410028,B0
26230105,202620026,A+
24210073,202420011,D+
24900060,202610018,B0
24230186,202610027,C+
26300191,202510002,F
25440019,202520021,D+
24400130,202620003,C0
24760038,202420001,C+
26770088,202620009,B+
26210153,202620003,F
24210073,202610008,B+
24250162,202510002,C0
24760092,202420015,B0
26280096,202610004,C+
24700199,202620026,B0
24140112,202610008,D+
25580044,202510014,C+
24840149,202410005,B0
26670141,202610019,C+
26440099,202520012,B+
25380136,202420015,B0
24190095,202610023,C0
26770088,202520010,A+
24230186,202610022,F
26860122,202510002,A+
25380136,202410017,A+
24410100,202610024,A+
25820066,202610004,A+
25120103,202420011,B+
25700164,202420007,C+
26380057,202610024,F
24450160,202520012,A0
25580044,202410017,B0
26440099,202420007,D+
25670185,202620026,A0
24800144,202610024,D+
26660133,202610022,D+
25820066,202620016,C0
26830034,202620026,D+
24980175,202610004,C0
25490152,202410020,C0
26560072,202610004,B0
25960089,202520025,A+
25800023,202420013,B0
24790037,202610022,F
25700025,202420013,A0
26270192,202510002,A+
25800047,202520021,A0
25190176,202610008,A0
24560054,202610008,C+
25860065,202620016,B+
25190039,202410028,C+
26580127,202520021,A0
24720178,202410017,C+
25150120,202610022,F
24100172,202520012,B0
24600049,202510002,B0
24970123,202410006,C0
25760056,202520010,A0
24560168,202520021,B0
24280166,202610004,A+
24460114,202410020,C0
25440125,202620003,B0
24210073,202420013,C0
25800023,202520012,F
25520148,202410028,A+
24670009,202520025,A+
25280029,202620026,B0
25390124,202410030,B0
26240188,202410017,A0
24770179,202410006,D+
24390198,202620016,F
24360079,202620016,B0
24220107,202420011,D+
24140112,202420013,A+
26860122,202610029,C+
25390124,202410020,C+
24100172,202610019,D+
26460132,202620003,C0
24670009,202420013,A0
25120103,202610024,C0
26300191,202410005,F
24460147,202420007,B0
26420013,202610004,B0
25190176,202620003,C0
25670185,202520012,A+
25500139,202610024,D+
26500083,202610027,A+
25840091,202620026,A0
25470111,202420001,C0
24600049,202410028,D+
26760104,202410006,C+
25630031,202620016,C+
24760092,202610024,F
26670141,202420013,C+
25120195,202620016,B+
25150145,202610022,F
24630016,202610023,B0
24790037,202410006,D+
26420013,202610027,C0
25490067,202420011,B+
26810102,202620026,F
24970123,202610029,B0
24250162,202610029,A0
24780041,202620016,C+
26120167,202610019,B0
24220090,202420013,A+
26980086,202420015,B0
25640030,202410005,A+
24840149,202610022,F
26460132,202410006,B+
25190190,202610029,A+
24400130,202610004,B+
26300191,202410030,C0
24800026,202610008,A0
24800144,202410030,A0
24410100,202510002,A+
25490152,202420011,D+
26580127,202420015,C+
25490067,202620009,B0
24790037,202620003,B+
26150061,202620026,A+
24360079,202610027,B+
26800035,202420013,C0
24100150,202610008,C0
26850080,202610004,B0
24220107,202510002,F
24770179,202510002,C+
25580007,202420001,B+
24390146,202420015,B+
25390124,202610022,C0
25290078,202520012,C0
24220118,202620016,D+
25380136,202610029,F
25160181,202610004,B+
25810194,202410028,C+
25310193,202620016,A+
26760104,202620026,C+
26290020,202420011,B+
24950004,202620009,F
25580007,202410005,A0
25630051,202610019,F
25630031,202610024,A0
25520148,202610019,C0
25510093,202610027,B0
25860157,202520021,A0
24560054,202620009,A+
25510002,202610008,A0
26860122,202610018,B0
24310129,202620026,A+
24820048,202610019,C0
25310193,202420013,C+
26460132,202410017,A+
25670185,202520010,D+
26450032,202420013,C0
24410100,202420013,A0
26810014,202610024,A+
25230076,202420013,A+
25310193,202610023,A0
26340077,202420007,B0
25150145,202510002,A0
26420013,202520012,B0
24120063,202520021,B+
26300191,202610019,C+
24110050,202410020,C+
24680006,202420011,B+
24650010,202410005,F
25160181,202410005,A0
25390124,202410005,C0
24650036,202410020,D+
26340077,202610018,B+
24100053,202410028,D+
25840091,202620003,D+
26980086,202420007,A+
26860122,202610023,F
24140112,202410006,D+
25700164,202610027,B0
25160181,202410017,C0
24130143,202520021,D+
26570068,202620009,A+
24840149,202620003,C0
24280166,202420011,D+
25510093,202420011,A+
26110154,202620016,B0
24900060,202620003,C+
24890159,202620003,D+
25490152,202610023,F
24870074,202420001,B+
26800035,202410028,F
24580116,202610027,A0
24920018,202410006,C+
26230105,202510002,C0
25490067,202510014,C+
26920033,202420001,A+
25490126,202410005,D+
24780042,202610024,D+
24390012,202420007,B+
26530108,202620009,B+
26270197,202410028,B+
24390198,202420001,C0
25800047,202420007,B+
25510093,202420007,C0
26690158,202610023,B0
25490067,202610029,C+
25860157,202610027,B+
26660133,202410028,C0
24110050,202410030,A+
26230105,202410005,B+
25280058,202610027,B+
24210073,202520025,B0
25610094,202410030,D+
26440099,202620026,C+
25290078,202610018,A+
26730142,202410020,A0
26760104,202510002,B0
25190176,202410020,A+
26110154,202520012,B0
26580127,202410028,C0
24280187,202410017,C0
24780041,202410006,A0
24300101,202610004,A+
24360079,202520010,C+
26850080,202520012,A+
24440110,202410028,C+
24770179,202520012,C0
26800035,202610004,A0
26230105,202610023,B0
24280187,202520010,C0
26270197,202510002,D+
26380128,202610023,D+
24480170,202410028,B+
25370151,202610022,F
24580116,202520021,A+
25630031,202610019,A+
24630005,202610018,C0
26990171,202610018,C0
26100097,202520010,A+
26430084,202610027,A0
24220113,202410017,A+
25630051,202620016,C0
26860122,202620009,C+
26340077,202410020,D+
25160181,202420015,F
25190190,202510002,B0
26340077,202620003,D+
24360079,202420001,F
26720015,202410017,B+
26570068,202420011,D+
24390198,202520021,C0
24760092,202420011,A0
26530108,202610023,A0
24310165,202620009,D+
24480170,202610029,B+
24220113,202620026,C+
24680115,202420015,B+
24670009,202410030,B0
26910117,202520025,B+
24100156,202510014,A0
24860043,202410028,C0
25190039,202420013,B0
24100150,202610023,F
25160181,202420001,F
25380135,202620009,A0
24330028,202610008,C0
25800023,202410017,C+
25630031,202620026,C+
26380057,202410030,B0
26210153,202610024,B+
25120195,202410005,F
26920033,202520010,F
26440099,202610008,F
25270045,202610027,B+
24210161,202610023,C+
24600049,202610019,C0
24480170,202420015,B+
26430084,202420011,A0
25670185,202420015,D+
24230081,202610008,A+
26990171,202520025,F
24220107,202420015,D+
24100172,202510014,B+
24840149,202610024,A+
24330028,202520012,A0
24790037,202420007,C+
24250162,202620009,B+
26600055,202410020,D+
25190176,202410030,D+
26340106,202520010,C+
26150061,202610024,A0
26510085,202520025,D+
24510008,202620003,A+
25500139,202610018,B0
26860122,202620026,C+
24920018,202620009,F
25260098,202610029,A0
26810102,202410017,D+
26510085,202420013,B0
26500083,202610019,B+
24100156,202420011,D+
24310129,202410020,C0
24220113,202510014,B+
24440110,202620016,B0
25490152,202610027,D+
24800144,202520021,B0
24460114,202520025,C+
25120103,202510002,C+
26340106,202610024,C0
25490067,202620026,F
24130143,202510002,D+
25390124,202610023,C+
25100022,202520010,A0
26810102,202410006,B+
24870074,202610004,A0
24450177,202610029,D+
26610046,202520025,F
25150145,202420011,F
25800023,202420007,A0
24490121,202410020,B0
24700199,202420013,D+
24740011,202410020,C+
26120167,202410017,B+
24890159,202610023,A+
26830034,202610027,A+
24900060,202410028,C+
24270134,202610008,A0
25160181,202520025,B+
24760038,202410006,D+
24620169,202520012,C+
25520189,202410030,A+
26500083,202520012,A+
24800144,202610018,C0
24390198,202420007,D+
24820048,202410020,A+
26290020,202620003,A+
25120103,202610018,A0
25380135,202420007,A+
26610046,202510002,F
25630051,202420013,A+
24280137,202610004,B+
26380128,202510002,D+
26770109,202420013,B+
25980138,202610023,D+
26910117,202610008,C+
26530108,202620016,C+
24890159,202410005,D+
26210153,202610027,C+
25230076,202410006,C0
24220090,202410020,A0
25490126,202610018,D+
26870200,202510002,B+
24780042,202410005,D+
26690158,202410028,B+
26810014,202420013,B+
24390012,202620003,C+
26830034,202610023,A0
25500174,202610004,C+
25800047,202520025,C+
24950004,202620003,F
26210153,202610019,A0
26420013,202620026,D+
24950024,202520012,B+
26420013,202510002,C0
24980175,202520012,A+
24510087,202520025,C+
24950024,202520025,C+
25150120,202410006,C0
24650036,202410028,C0
25510002,202610027,F
24560168,202610004,D+
24130143,202610029,A0
24790037,202610027,A0
24220107,202610019,C+
24280137,202420013,C0
26250131,202610018,B0
25860157,202610029,C+
24100172,202520025,C0
24450173,202610022,D+
25120069,202620009,A0
24510008,202610004,D+
24510087,202420015,A0
26870200,202410030,D+
25120103,202610008,F
24460147,202520025,A0
24820048,202510014,D+
24120071,202420011,A0
24650010,202610023,F
25510093,202420013,B+
24270134,202420011,F
25500174,202510002,C+
24950004,202410028,D+
25490067,202420001,C0
25190190,202410005,A0
26410017,202420001,F
25990163,202420007,B+
24700199,202610027,D+
24580116,202520012,C+
25370075,202620009,F
26770109,202410005,A0
25820119,202520010,F
25120103,202410006,A0
26980021,202510002,A+
25640030,202410017,D+
25490126,202520010,B0
24800144,202420015,A0
24950004,202420007,B0
25290078,202410006,B+
25280058,202610029,D+
24950024,202510002,C0
24140112,202510014,A+
25740059,202420001,B+
26120167,202620026,F
25500174,202620003,B0
26340106,202420001,B0
24650010,202620026,A+
25490152,202410006,F
25370075,202410017,D+
26760104,202610004,C+
26720015,202610018,D+
24650036,202620016,C0
24110050,202620003,B+
25800047,202420015,A+
25640030,202510002,A+
25190176,202520025,B+
25210182,202520025,C0
25610094,202520021,A0
26270192,202620016,A0
26400184,202620003,A+
26860122,202410030,B0
24790037,202420013,C0
24210073,202420001,D+
26500083,202410028,F
25820119,202620009,C0
24210161,202610019,C+
26280096,202610018,C+
24100150,202410028,B+
25860065,202610027,C+
24120063,202520010,D+
26250131,202410028,B+
24820048,202620003,B+
25490067,202610027,B+
24120063,202420011,D+
24800144,202410005,F
26210153,202610023,A+
26100097,202610023,C+
25810194,202420011,C0
26920033,202410017,A+
25260098,202520025,D+
24400130,202610024,C0
24120071,202520012,B0
24220107,202610018,D+
24580116,202420011,C+
26770088,202610027,A0
25630051,202520012,B0
26560072,202520010,A0
24360079,202410020,B+
26980021,202610024,A0
25980138,202620009,F
25490152,202420001,D+
24700199,202610029,C+
24210161,202610008,C0
24970123,202410020,B+
26810014,202410005,C+
24220118,202420001,C+
24400130,202620026,B0
26110154,202420011,A0
24900060,202420013,F
24630005,202420013,C0
24310129,202410006,B+
24760092,202610004,A0
24230186,202520010,D+
24560054,202410028,A0
24390198,202510014,A+
24450160,202420011,D+
26510085,202420007,C0
24310129,202610027,D+
25100022,202410006,C+
25510064,202420011,B0
25150145,202510014,F
24720178,202410030,B+
25510093,202410028,A0
24140112,202610022,A+
24320052,202620026,A+
24220107,202620009,B+
25820119,202410017,C0
25670185,202610018,A0
24980175,202610023,F
24220090,202520021,D+
24440110,202610018,B+
25820066,202610022,C0
24220196,202610019,B0
24220113,202620016,F
24840149,202410028,A+
24210161,202410030,B0
25370075,202610029,D+
26270192,202610004,A+
26920033,202610023,B+
24980175,202420001,C+
25820119,202620003,D+
26770088,202520025,A0
26450032,202420001,A0
24620169,202610008,A+
25610094,202410006,B0
25990163,202520012,A0
26290020,202520025,B0
25980138,202620026,C+
26340106,202410005,C+
26450032,202610027,C0
25580044,202410020,D+
24320052,202410017,A0
25510002,202610022,A+
25510002,202410006,A+
25740059,202520012,F
26340106,202610004,B0
26110154,202520021,A+
26410017,202520010,B0
24680006,202420007,A0
25670185,202410006,A0
26290020,202410020,B0
24620169,202520010,C0
26690158,202510014,D+
25500174,202610019,B0
26910117,202620009,B0
25510002,202610018,A+
24360079,202510002,C0
24740011,202610004,A0
24250162,202520012,F
26670141,202410030,C0
24480170,202620009,B0
24220113,202520012,C0
24100150,202410005,C0
24900060,202520012,D+
24140112,202620003,B+
24400130,202510002,B+
25700025,202420011,F
24390012,202510014,B0
24700199,202410017,C+
24840149,202410020,B0
24210161,202520010,D+
26920033,202620026,A+
24330028,202610029,D+
24780042,202610019,B0
26280096,202520021,C+
25510093,202410005,A0
24280187,202410005,A+
26150061,202610004,A0
25510064,202520012,A+
24410140,202510014,B0
25510002,202510014,F
25290078,202610022,F
24740011,202520012,B0
24460147,202610018,D+
26380057,202420015,B+
24490121,202610008,D+
26290020,202620016,C0
25490126,202620003,F
24310129,202620009,B0
26910117,202410005,D+
25380135,202520025,B0
26510085,202410017,D+
25740059,202420011,A+
26770088,202620003,D+
25150120,202420001,D+
24720178,202520021,A0
24120063,202610004,B0
26730142,202620009,D+
24770179,202410017,C+
26670141,202420015,F
25190039,202420007,C0
26420013,202410017,C0
25520189,202520021,B0
25470111,202520010,C0
24360079,202420013,B+
24700199,202610004,B0
25280058,202610022,C+
25520148,202610022,A0
24140112,202520025,C0
24890159,202620026,C+
24100053,202410005,A0
24100156,202410006,D+
26280096,202510014,C0
26770109,202520025,F
25280029,202420013,C+
24650036,202520021,D+
24680115,202620003,A+
25980138,202420001,F
24320052,202620016,B0
26650003,202610029,B0
25380136,202410030,D+
26720015,202520010,B0
25490152,202520021,A0
24220090,202610024,C0
24650010,202610018,C+
25640030,202620009,A+
24650010,202610019,C0
24210073,202420007,B+
25190190,202520012,C0
24840149,202410017,D+
24760092,202410006,F
26660027,202610029,C+
26660133,202410020,A0
25610001,202410005,C+
25810194,202520021,A0
26380128,202620016,A0
24280137,202610022,C+
26670141,202520025,B+
24980175,202620003,C0
25210182,202510014,C+
24400130,202410030,A+
25510002,202520025,B0
25580044,202420013,C0
25140082,202620016,B0
25960089,202610023,C+
24480062,202410020,C0
24250162,202410006,B+
26270197,202610023,C0
25740059,202410006,C0
24560168,202610029,A+
24920018,202520012,F
25120069,202410020,B0
26100097,202610008,F
25270045,202610019,C+
26870200,202410005,F
25700164,202620026,B0
25200180,202610023,B+
25160181,202420011,B+
25370151,202620009,A+
25760056,202610004,A0
26440099,202410030,F
25440125,202420001,A+
26530108,202610029,C0
24840149,202420013,A0
24480170,202410005,F
26600055,202410017,C0
24400130,202520010,F
25610001,202610027,B+
24220090,202520010,B+
24820048,202420007,A0
24740011,202620009,B+
26870200,202410006,B0
24320052,202610019,C0
24680006,202410017,C+
25210182,202620026,F
24220196,202410020,B0
25190176,202520012,C0
24310155,202410028,C0
24780042,202410017,B+
24670009,202420015,A+
24100172,202410005,C+
26430084,202620026,A+
24510008,202620009,F
24100156,202610008,F
24770179,202410020,F
25510093,202610022,B0
26650003,202420013,B+
25370151,202520025,F
26240188,202510014,A0
24230081,202510002,B+
24780041,202610008,A0
24600049,202610022,A+
25120069,202620003,B+
26760104,202610008,C+
